,Sample,site,Type,copies_mL,date
1,BO_APR,BO,Monthly,26688.57221,2022-04-20
2,BO_AUG,BO,Monthly,7983.120422,2022-08-09
3,BO_DEC,BO,Monthly,22042.47797,2022-12-14
4,BO_FEB,BO,Monthly,10282.55805,2022-02-16
5,BO_JUN,BO,Monthly,36697.00187,2022-06-14
6,BO_MAR,BO,Monthly,4814.178749,2022-03-09
7,BO_MAY_11,BO,Monthly,28573.71686,2022-05-11
8,BO_MAY_20,BO,Monthly,5518.750114,2022-05-20
9,BO_MAY_24,BO,Monthly,8310.405763,2022-05-24
10,BO_NOV,BO,Monthly,40813.64995,2022-11-15
11,BO_OCT,BO,Monthly,88401.33513,2022-10-18
12,BO_SEP,BO,Monthly,10999.72128,2022-09-13
13,C2_APR,C2,Monthly,456.8850294,2022-04-20
14,C2_AUG,C2,Monthly,19801.37881,2022-08-09
15,C2_DEC,C2,Monthly,26757.44916,2022-12-14
16,C2_FEB,C2,Monthly,162.7442949,2022-02-16
17,C2_JUN,C2,Monthly,6869.415922,2022-06-14
18,C2_MAR,C2,Monthly,2077.583568,2022-03-09
19,C2_MAY_11,C2,Monthly,1410.157766,2022-05-11
20,C2_MAY_20,C2,Monthly,3244.192145,2022-05-20
21,C2_MAY_24,C2,Monthly,2505.557174,2022-05-24
22,C2_NOV,C2,Monthly,2733.22408,2022-11-15
23,C2_OCT,C2,Monthly,16900.59455,2022-10-18
24,C2_SEP,C2,Monthly,9953.422097,2022-09-13
25,RD6_DEC,RD,Monthly,520.058085,2022-12-14
26,RD6_MAY_20,RD,Monthly,9961.750129,2022-05-20
27,RD6_MAY_24,RD,Monthly,32627.00162,2022-05-24
28,RD6_NOV,RD,Monthly,30542.16474,2022-11-15
29,RD6APR,RD,Monthly,54655.95783,2022-04-20
30,RD6AUG,RD,Monthly,37654.66978,2022-08-09
31,RD6FEB,RD,Monthly,10624.80978,2022-02-16
32,RD6JUN,RD,Monthly,22871.12381,2022-06-14
33,RD6MAR,RD,Monthly,840.1642088,2022-03-09
34,RD6MAY,RD,Monthly,1960.562184,2022-05-11
35,RD6OCT,RD,Monthly,33611.76367,2022-10-18
36,RD6SEP,RD,Monthly,41525.28508,2022-09-13
37,BO11,BO,Daily,45874.78059,2022-07-11
38,BO12,BO,Daily,18960.39616,2022-07-12
39,BO13,BO,Daily,30244.60932,2022-07-13
40,BO14,BO,Daily,85816.18279,2022-07-14
41,BO15,BO,Daily,34585.65866,2022-07-15
42,BO16REDO,BO,Daily,32447.29921,2022-07-16
43,BO17,BO,Daily,69064.50925,2022-07-17
44,BO18,BO,Daily,50214.08436,2022-07-18
45,BO19,BO,Daily,71334.24842,2022-07-19
46,BO7,BO,Daily,25462.31608,2022-07-07
47,BO8,BO,Daily,33586.34572,2022-07-08
48,BO9,BO,Daily,29092.82512,2022-07-09
49,C211,C2,Daily,6607.170123,2022-07-11
50,C212,C2,Daily,14343.05407,2022-07-12
51,C213,C2,Daily,16787.46781,2022-07-13
52,C214,C2,Daily,10762.0719,2022-07-14
53,C215,C2,Daily,9155.127684,2022-07-15
54,C216,C2,Daily,20656.16308,2022-07-16
55,C217,C2,Daily,8376.507081,2022-07-17
56,C218,C2,Daily,28784.5619,2022-07-18
57,C219 REDO,C2,Daily,28577.6044,2022-07-19
58,C27 REDO,C2,Daily,21657.56478,2022-07-07
59,C28,C2,Daily,14290.41007,2022-07-08
60,C29,C2,Daily,4353.798363,2022-07-09
61,RD611,RD,Daily,695.3906377,2022-07-11
62,RD612,RD,Daily,47081.08262,2022-07-12
63,RD613,RD,Daily,51604.42555,2022-07-13
64,RD614,RD,Daily,97906.39263,2022-07-14
65,RD615,RD,Daily,110322.3449,2022-07-15
66,RD616,RD,Daily,71864.464,2022-07-16
67,RD617,RD,Daily,69089.27044,2022-07-17
68,RD618,RD,Daily,149149.6123,2022-07-18
69,RD619,RD,Daily,107384.118,2022-07-19
70,RD67,RD,Daily,441.8336661,2022-07-07
71,RD68,RD,Daily,2669.763843,2022-07-08
72,RD69,RD,Daily,3243.352621,2022-07-09