date,t1,t7,t13,t19,tsum,tavg,t7sum,t7avg
2022-06-30,0.01,0.01,0.01,0.01,0.04,0.01,,
2022-07-01,0.01,0.01,0.01,0.02,0.05,0.0125,0.04,0.01
2022-07-02,0.02,0.02,0.02,0.02,0.08,0.02,0.07,0.0175
2022-07-03,0.02,0.03,0.03,0.03,0.11,0.0275,0.09,0.0225
2022-07-04,0.03,0.04,0.04,0.04,0.15,0.0375,0.13,0.0325
2022-07-05,0.04,0.04,0.04,0.04,0.16,0.04,0.16,0.04
2022-07-06,0.03,0.03,0.03,0.03,0.12,0.03,0.14,0.035
2022-07-07,0.02,0.02,0.02,0.02,0.08,0.02,0.1,0.025
2022-07-08,0.03,0.03,0.03,0.03,0.12,0.03,0.1,0.025
2022-07-09,0.03,0.04,0.03,0.02,0.12,0.03,0.13,0.0325
2022-07-10,0.02,0.02,0.03,0.02,0.09,0.0225,0.09,0.0225
2022-07-11,0.02,0.02,0.02,0.02,0.08,0.02,0.09,0.0225
2022-07-12,0.01,0.01,0.05,0.04,0.11,0.0275,0.06,0.015
2022-07-13,0.05,0.06,0.05,0.04,0.2,0.05,0.2,0.05
2022-07-14,0.04,0.04,0.04,0.04,0.16,0.04,0.17,0.0425
2022-07-15,0.04,0.05,0.08,0.14,0.31,0.0775,0.17,0.0425
2022-07-16,0.17,0.18,0.12,0.14,0.61,0.1525,0.57,0.1425
2022-07-17,0.14,0.15,0.17,0.15,0.61,0.1525,0.55,0.1375
2022-07-18,0.13,0.1,0.05,0.04,0.32,0.08,0.55,0.1375
2022-07-19,0.04,0.04,0.05,0.05,0.18,0.045,0.17,0.0425
2022-07-20,0.05,0.05,0.04,0.05,0.19,0.0475,0.2,0.05
2022-07-21,0.05,0.06,0.09,0.08,0.28,0.07,0.2,0.05
2022-07-22,0.07,0.07,0.05,0.05,0.24,0.06,0.31,0.0775
2022-07-23,0.05,0.05,0.03,0.03,0.16,0.04,0.2,0.05
2022-07-24,0.03,0.02,0.03,0.03,0.11,0.0275,0.11,0.0275
2022-07-25,0.03,0.03,0.03,0.03,0.12,0.03,0.12,0.03
2022-07-26,0.03,0.03,0.04,0.04,0.14,0.035,0.12,0.03
2022-07-27,0.05,0.05,0.05,0.04,0.19,0.0475,0.18,0.045
2022-07-28,0.04,0.03,0.03,0.03,0.13,0.0325,0.16,0.04
2022-07-29,0.04,0.04,0.04,0.06,0.18,0.045,0.14,0.035
2022-07-30,0.08,0.09,0.09,0.08,0.34,0.085,0.27,0.0675
2022-07-31,0.08,0.08,0.08,0.05,0.29,0.0725,0.33,0.0825