site,date,chl,sal,temp,do_mgl,do_per,pH,secchi,amm,nn,orthop,sil,din,din_dip,tdn,don,doc,toc,tn,,,,,,
BO,2022-02-16,27.33,23.88,19.9,7.81,98.7,8.02,0.1,7.60,62.27,12.16,61.28,69.867,5.747059307,104.0,34.17887029,2032.8,2510.2,143.9,,,,,,
BO,2022-03-09,8.68,29.06,12.7,10.25,117.0,8.27,0.4,5.44,7.11,2.25,47.28,12.548,5.569462938,43.3,30.7482106,348.2,434.4,57.9,,,,,,
BO,2022-04-20,21.53,31.58,24.1,6.43,92.6,8.04,0.2,3.67,0.39,0.73,36.20,4.0665,5.589690722,27.7,23.6027059,294.3,500.7,64.0,,,,,,
BO,2022-05-11,35.37,32.18,28.3,7.03,107.8,8.35,0.2,0.57,0.23,1.21,59.21,0.7925,0.657403567,33.7,32.94001903,977.3,1189.5,82.9,,,,,,
BO,2022-05-20,15.28,22.38,26.5,7.36,102.9,8.41,0.1,1.03,85.44,25.12,194.50,86.47,3.442414109,143.0,56.53220896,872.1,1445.3,256.9,,,,,,
BO,2022-05-24,47.04,23.66,24.7,8.04,110.1,8.70,0.2,0.95,0.17,3.65,121.83,1.1175,0.306122449,50.5,49.34986897,581.4,974.6,129.3,,,,,,
BO,2022-06-14,29.24,30.41,27.8,6.43,96.7,8.32,0.1,9.66,14.06,5.61,110.18,23.7145,4.230954505,78.9,55.15722447,742.7,1388.7,185.3,,,,,,
BO,2022-07-07,23.89,29.86,28.9,7.52,116.2,8.49,0.1,0.52,0.20,2.93,90.31,0.728,0.248803828,58.2,57.45585295,665.2,1106.6,162.3,,,,,,
BO,2022-07-08,20.02,31.80,28.9,7.44,115.1,8.83,0.2,0.48,0.18,2.90,69.09,0.6535,0.225656077,61.0,60.34215285,1062.4,1314.1,179.8,,,,,,
BO,2022-07-09,24.10,32.16,28.8,6.89,107.6,9.76,1.5,0.41,0.17,3.42,86.44,0.5845,0.170781592,55.2,54.6539626,830.1,1439.3,180.7,,,,,,
BO,2022-07-11,21.27,41.11,29.6,5.32,89.5,8.45,0.2,0.62,0.17,2.16,107.57,0.786,0.363804675,55.1,54.28740148,796.0,1113.2,127.5,,,,,,
BO,2022-07-12,39.78,36.01,29.5,6.17,100.7,7.96,0.2,0.84,1.09,2.99,96.75,1.936,0.648141948,63.7,61.78587864,778.2,1280.1,164.7,,,,,,
BO,2022-07-13,28.11,34.62,30.0,5.6,89.1,8.92,3,0.56,0.17,1.03,75.79,0.726,0.705882353,68.5,67.81062007,715.1,1372.2,178.6,,,,,,
BO,2022-07-14,37.88,30.65,29.2,5.18,81.5,8.52,0.25,1.06,0.13,1.66,66.61,1.183,0.713295146,56.7,55.53929327,702.5,1348.9,170.3,,,,,,
BO,2022-07-15,59.56,24.90,28.1,7.65,112.6,8.96,0.25,0.69,6.68,0.57,72.85,7.3675,12.98237885,66.7,59.29644058,699.0,1493.1,211.3,,,,,,
BO,2022-07-16,27.64,23.95,27.9,9.44,137.3,8.87,0.15,1.73,0.20,0.09,143.71,1.929375,22.01854494,99.3,97.37681109,693.3,1460.6,265.7,,,,,,
BO,2022-07-17,39.48,21.90,28.1,9.22,125.9,8.30,0.2,1.10,52.20,6.75,105.32,53.3045,7.895793216,116.3,63.00292493,696.7,1601.1,313.4,,,,,,
BO,2022-07-18,96.40,23.87,29.0,9.07,132.9,9.18,0.2,0.69,0.17,3.47,70.92,0.86,0.248124639,98.3,97.41310816,1198.9,2076.6,312.8,,,,,,
BO,2022-07-19,84.26,20.06,28.1,8.15,118.2,8.97,0.2,0.52,33.36,9.24,92.57,33.8835,3.667243898,77.6,43.76089842,562.3,1562.9,262.5,,,,,,
BO,2022-08-09,28.49,37.06,29.6,5.46,87.3,8.58,0.3,1.29,0.17,4.95,75.25,1.462,0.295472918,52.2,50.76414012,605.9,931.9,93.3,,,,,,
BO,2022-09-13,19.18,28.73,30.8,6.27,97.7,8.35,0.3,1.75,6.78,4.92,152.72,8.5355,1.735739705,52.0,43.44919641,518.1,877.2,115.6,,,,,,
BO,2022-10-18,16.67,32.65,18.8,6.82,89.3,8.35,0.1,19.28,35.55,10.44,132.46,54.821,5.249293819,105.3,50.49222701,455.3,968.5,184.5,,,,,,
BO,2022-11-15,29.41,31.16,15.7,8.61,105.1,8.31,0.2,2.64,29.42,5.42,79.81,32.0625,5.918866531,65.6,33.54737429,398.2,578.4,94.6,,,,,,
BO,2022-12-14,15.91,31.99,20.5,7.45,99.3,8.23,0.2,2.68,7.41,2.09,55.79,10.0905,4.836089145,34.9,24.76187143,291.9,456.8,56.7,,,,,,
C2,2022-02-16,7.59,29.12,16.3,7.92,96.5,8.12,1.2,0.38,0.19,0.12,30.31,0.5715,4.627530364,29.1,28.5676194,1717.0,2075.3,35.0,,,,,,
C2,2022-03-09,13.54,29.40,16.0,4.75,58.0,8.17,1.2,2.33,1.56,0.30,4.65,3.883,12.98662207,34.2,30.3643279,315.3,342.1,39.7,,,,,,
C2,2022-04-20,8.10,32.46,25.1,4.4,64.4,8.04,1.3,2.28,1.23,0.40,61.41,3.51,8.819095477,38.2,34.68527819,345.7,415.0,49.0,,,,,,
C2,2022-05-11,10.32,35.46,29.1,4.62,74.5,8.17,1.3,0.35,0.26,0.06,27.71,0.6125,10.29411765,40.8,40.2114683,690.4,745.1,48.0,,,,,,
C2,2022-05-20,11.48,36.76,28.5,4.57,72.2,8.25,1.1,0.39,0.24,0.06,32.41,0.6215,10.90350877,47.4,46.75302293,692.1,737.5,60.9,,,,,,
C2,2022-05-24,10.95,26.68,27.4,4.28,65.0,8.21,1.3,1.89,0.65,0.22,58.93,2.5425,11.37583893,58.9,56.36533201,608.0,NC,NC,,,,,,
C2,2022-06-14,9.13,37.70,30.3,3.81,62.6,8.16,1.2,0.76,0.11,0.05,123.57,0.874,16.18518519,50.1,49.26854564,649.6,703.7,64.6,,,,,,
C2,2022-07-07,5.21,39.54,30.6,4.03,67.1,7.82,1.2,0.34,0.18,0.03,152.17,0.514,18.35714286,60.0,59.51574296,636.0,767.0,71.0,,,,,,
C2,2022-07-08,7.29,41.13,30.7,4.06,66.4,8.05,1.3,0.35,0.17,0.07,149.26,0.512,7.314285714,51.8,51.27173316,840.6,921.6,68.4,,,,,,
C2,2022-07-09,5.40,39.99,30.8,3.46,57.9,7.84,1.3,0.88,0.15,0.31,148.29,1.0335,3.339256866,53.4,52.34545953,729.3,755.8,70.2,,,,,,
C2,2022-07-11,6.52,41.87,31.1,4.3,71.9,8.08,1.2,0.77,0.16,0.04,140.38,0.9355,23.09876543,53.9,52.97954305,681.8,733.8,74.9,,,,,,
C2,2022-07-12,7.16,40.64,31.0,2.7,45.2,7.66,1.2,0.80,0.13,0.02,140.08,0.926,43.06976744,60.3,59.39654394,651.0,726.7,76.1,,,,,,
C2,2022-07-13,8.43,42.20,31.3,2.29,39.1,8.17,1.2,1.68,0.23,0.07,142.94,1.909,27.27142857,61.8,59.84831752,644.3,782.9,90.4,,,,,,
C2,2022-07-14,7.18,42.31,31.5,2.11,36.4,7.75,1.1,2.75,0.20,0.14,144.29,2.956,21.26618705,56.2,53.21505296,654.4,763.9,72.9,,,,,,
C2,2022-07-15,9.20,41.06,31.3,2.42,41.4,8.04,1.3,1.71,0.22,0.12,147.55,1.9265,16.05416667,57.7,55.76971379,647.9,738.7,69.9,,,,,,
C2,2022-07-16,4.47,42.57,30.8,1.57,26.8,7.81,1.3,0.79,2.02,1.56,78.00,2.803125,1.796443163,56.5,53.66590024,583.2,670.3,69.0,,,,,,
C2,2022-07-17,9.99,43.14,31.1,3.07,52.3,7.82,1.1,1.13,0.16,0.05,147.64,1.296,27.28421053,59.1,57.82448271,653.9,734.1,75.7,,,,,,
C2,2022-07-18,12.51,43.20,31.3,2.82,48.4,7.99,1.2,1.20,0.17,0.02,149.24,1.3635,58.0212766,62.7,61.34889875,654.1,788.0,84.3,,,,,,
C2,2022-07-19,11.30,43.28,31.3,3.24,56.4,7.68,1.2,1.32,0.19,0.08,149.68,1.509,18.18072289,55.4,53.88198406,643.7,743.0,68.5,,,,,,
C2,2022-08-09,12.29,45.55,31.0,3.45,59.6,8.06,1,1.33,0.14,0.05,158.65,1.4725,27.26851852,55.5,54.02842478,648.0,700.1,61.7,,,,,,
C2,2022-09-13,12.78,37.29,30.6,5.72,93.9,8.15,1.5,7.01,1.48,0.40,120.47,8.492,21.01980198,55.7,47.23329851,521.7,579.7,66.6,,,,,,
C2,2022-10-18,5.46,36.90,25.7,2.14,34.3,7.94,1.7,13.22,1.68,0.91,107.31,14.901,16.41983471,65.1,50.21532488,506.6,533.4,69.5,,,,,,
C2,2022-11-15,3.74,34.30,19.3,4.75,62.1,8.02,1.6,7.72,3.52,0.82,69.30,11.238,13.67985393,53.2,41.95957789,402.5,533.4,61.8,,,,,,
C2,2022-12-14,12.15,32.80,22.4,4.35,61.1,8.10,1.5,2.10,0.47,0.23,40.74,2.5705,11.17608696,33.1,30.5760855,346.9,391.5,38.5,,,,,,
RD,2022-02-16,NA,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,,
RD,2022-03-09,15.15,28.66,13.5,9.61,109.0,8.15,0.4,0.32,0.24,0.35,2.96,0.553,1.586800574,15.8,15.23489187,199.9,233.4,24.3,,,,,,
RD,2022-04-20,10.88,30.94,23.5,6.75,96.0,8.12,0.2,1.05,0.14,0.30,1.95,1.1895,4.025380711,16.1,14.9569314,129.1,187.7,25.2,,,,,,
RD,2022-05-11,3.10,30.88,27.0,6.27,94.4,8.11,0.5,0.24,0.12,0.10,2.27,0.361,3.760416667,11.8,11.4256797,303.9,381.8,14.8,,,,,,
RD,2022-05-20,61.70,33.74,24.9,6.46,94.3,8.05,0.4,0.69,0.14,0.22,1.28,0.827,3.759090909,9.8,8.957623806,182.9,209.8,21.9,,,,,,
RD,2022-05-24,14.70,32.62,25.3,6.55,95.4,8.21,0.2,0.82,0.15,0.14,0.66,0.9765,6.950177936,15.4,14.3810736,126.1,210.7,34.4,,,,,,
RD,2022-06-14,14.58,34.65,27.5,5.88,93.7,8.12,0.2,0.39,0.15,0.21,8.30,0.535,2.547619048,9.6,9.039144531,150.4,258.5,19.6,,,,,,
RD,2022-07-07,2.82,35.51,29.3,5.87,93.4,7.87,0.3,0.29,0.15,0.36,13.77,0.4395,1.207417582,17.0,16.54718935,144.9,161.3,23.8,,,,,,
RD,2022-07-08,2.72,36.74,29.5,5.93,95.3,8.03,0.6,0.31,0.14,0.45,10.74,0.456,1.011086475,12.3,11.82116623,304.4,509.6,17.4,,,,,,
RD,2022-07-09,3.83,35.48,29.3,6.03,95.5,8.04,0.8,1.20,0.16,0.40,10.64,1.365,3.387096774,11.1,9.725209104,270.9,306.0,16.5,,,,,,
RD,2022-07-11,3.47,36.70,29.6,5.93,95.7,8.11,0.6,0.42,0.17,0.35,9.26,0.59,1.702741703,9.4,8.836614048,155.5,197.4,17.4,,,,,,
RD,2022-07-12,3.72,35.35,29.6,5.83,92.4,7.89,0.6,0.86,0.15,0.43,5.60,1.017,2.387323944,10.5,9.494598589,125.9,137.7,19.8,,,,,,
RD,2022-07-13,5.13,36.44,28.5,6.1,95.2,8.22,0.6,1.16,0.29,0.56,0.46,1.452,2.602150538,16.5,15.03400997,140.9,204.5,28.6,,,,,,
RD,2022-07-14,4.60,36.41,27.8,6.46,100.8,7.79,0.5,1.87,0.13,0.33,0.15,2.0035,5.989536622,13.0,11.00269278,99.4,176.3,28.5,,,,,,
RD,2022-07-15,5.32,35.25,27.3,5.95,91.5,8.08,0.4,2.24,0.17,0.43,2.44,2.4075,5.625,9.8,7.374271734,129.3,229.5,17.0,,,,,,
RD,2022-07-16,3.69,36.29,26.7,6.04,98.3,7.83,0.3,1.53,0.19,0.44,2.16,1.72,3.939307186,12.4,10.64733388,108.1,244.4,28.0,,,,,,
RD,2022-07-17,4.75,36.73,27.3,5.95,92.6,7.78,0.3,1.07,0.16,0.48,8.84,1.2245,2.553701773,13.6,12.34411589,117.5,195.9,27.1,,,,,,
RD,2022-07-18,5.77,36.79,28.1,5.82,90.6,7.60,0.3,1.57,0.24,0.58,14.57,1.8065,3.111972438,16.0,14.21498433,199.3,591.5,25.4,,,,,,
RD,2022-07-19,7.38,36.85,28.3,5.81,91.4,7.63,0.3,1.45,0.15,0.38,13.27,1.5985,4.256990679,10.2,8.585210982,96.1,160.3,17.6,,,,,,
RD,2022-08-09,3.26,37.25,29.9,5.56,91.5,8.07,0.5,1.19,0.14,0.52,42.46,1.328,2.551392891,10.3,8.950998201,95.1,127.1,14.5,,,,,,
RD,2022-09-13,2.59,36.67,29.6,5.75,92.6,8.05,1.5,1.49,0.06,0.46,22.99,1.5545,3.38671024,10.4,8.801732481,521.7,152.3,18.6,,,,,,
RD,2022-10-18,7.14,30.02,23.3,7.13,9.8,8.02,0.5,2.50,0.51,0.85,21.10,3.006,3.517846694,17.9,14.86833303,158.2,201.9,27.5,,,,,,
RD,2022-11-15,7.24,31.31,18.7,7.79,100.5,8.08,0.3,2.40,0.42,0.70,17.82,2.8145,4.038020086,59.4,56.58922609,165.2,201.9,24.5,,,,,,
RD,2022-12-14,19.75,31.91,19.4,12.78,168.2,8.10,0.2,2.91,0.83,0.62,10.94,3.742,6.001603849,15.1,11.37404448,124.0,237.1,30.9,,,,,,