yyymmddtt,ABF,dust,ust,smoke,SS Total AOT,hr,date,type
2022062006,0.06,0.02,0.01,0,0.1,6,2022-06-20,
2022062012,0.09,0.02,0.02,0.01,0.14,12,2022-06-20,
2022062018,0.08,0.02,0.02,0,0.13,18,2022-06-20,
2022062100,0.08,0.02,0.02,0,0.13,0,2022-06-21,
2022062106,0.12,0.02,0.03,0,0.17,6,2022-06-21,
2022062112,0.13,0.01,0.03,0.01,0.19,12,2022-06-21,
2022062118,0.09,0.03,0.02,0.01,0.14,18,2022-06-21,
2022062200,0.07,0.05,0.02,0.02,0.15,0,2022-06-22,
2022062206,0.05,0.07,0.01,0.03,0.16,6,2022-06-22,
2022062212,0.06,0.08,0.01,0.03,0.19,12,2022-06-22,
2022062218,0.04,0.08,0.01,0.01,0.15,18,2022-06-22,
2022062300,0.04,0.08,0.01,0.01,0.14,0,2022-06-23,
2022062306,0.05,0.07,0.01,0.01,0.15,6,2022-06-23,
2022062312,0.07,0.06,0.02,0.01,0.16,12,2022-06-23,
2022062318,0.05,0.04,0.01,0.01,0.11,18,2022-06-23,
2022062400,0.05,0.04,0.02,0,0.1,0,2022-06-24,
2022062406,0.06,0.03,0.02,0.01,0.11,6,2022-06-24,
2022062412,0.08,0.03,0.02,0.01,0.13,12,2022-06-24,
2022062418,0.08,0.03,0.02,0.01,0.13,18,2022-06-24,
2022062500,0.06,0.02,0.02,0,0.11,0,2022-06-25,
2022062506,0.11,0.02,0.02,0.01,0.16,6,2022-06-25,
2022062512,0.1,0.02,0.02,0.01,0.15,12,2022-06-25,
2022062518,0.05,0.01,0.01,0,0.08,18,2022-06-25,
2022062600,0.04,0.01,0.01,0,0.07,0,2022-06-26,
2022062606,0.05,0.01,0.01,0.01,0.08,6,2022-06-26,
2022062612,0.06,0.01,0.01,0.01,0.09,12,2022-06-26,
2022062618,0.05,0.02,0.02,0.01,0.09,18,2022-06-26,
2022062700,0.05,0.02,0.02,0.01,0.09,0,2022-06-27,
2022062706,0.05,0.02,0.02,0.01,0.09,6,2022-06-27,
2022062712,0.07,0.02,0.02,0.01,0.11,12,2022-06-27,
2022062718,0.07,0.02,0.02,0.01,0.11,18,2022-06-27,
2022062800,0.11,0.02,0.02,0,0.15,0,2022-06-28,
2022062806,0.21,0.02,0.03,0.01,0.26,6,2022-06-28,
2022062812,0.22,0.02,0.04,0.01,0.28,12,2022-06-28,
2022062818,0.25,0.01,0.04,0.01,0.31,18,2022-06-28,
2022062900,0.24,0.01,0.04,0.01,0.3,0,2022-06-29,
2022062906,0.16,0.01,0.03,0.01,0.22,6,2022-06-29,
2022062912,0.17,0.01,0.03,0.01,0.22,12,2022-06-29,
2022062918,0.17,0.01,0.03,0,0.21,18,2022-06-29,
2022063000,0.13,0.01,0.02,0,0.17,0,2022-06-30,
2022063006,0.13,0.01,0.02,0.01,0.18,6,2022-06-30,
2022063012,0.12,0.01,0.02,0.02,0.17,12,2022-06-30,
2022063018,0.07,0.01,0.01,0.01,0.1,18,2022-06-30,
2022070100,0.08,0.01,0.01,0.01,0.11,0,2022-07-01,
2022070106,0.09,0.01,0.01,0.01,0.12,6,2022-07-01,
2022070112,0.11,0.01,0.02,0.01,0.14,12,2022-07-01,
2022070118,0.14,0.01,0.03,0.02,0.2,18,2022-07-01,
2022070200,0.12,0.02,0.02,0.02,0.17,0,2022-07-02,
2022070206,0.11,0.02,0.02,0.02,0.18,6,2022-07-02,
2022070212,0.1,0.02,0.02,0.02,0.17,12,2022-07-02,
2022070218,0.05,0.02,0.01,0.01,0.09,18,2022-07-02,
2022070300,0.04,0.02,0.01,0.01,0.09,0,2022-07-03,
2022070306,0.04,0.02,0.01,0.02,0.1,6,2022-07-03,
2022070312,0.05,0.03,0.01,0.02,0.1,12,2022-07-03,
2022070318,0.06,0.03,0.01,0.03,0.13,18,2022-07-03,
2022070400,0.04,0.03,0.01,0.02,0.11,0,2022-07-04,
2022070406,0.05,0.03,0.01,0.03,0.13,6,2022-07-04,
2022070412,0.07,0.04,0.01,0.04,0.16,12,2022-07-04,
2022070418,0.06,0.04,0.01,0.03,0.13,18,2022-07-04,
2022070500,0.05,0.04,0.01,0.02,0.11,0,2022-07-05,
2022070506,0.07,0.04,0.01,0.03,0.14,6,2022-07-05,
2022070512,0.07,0.04,0.01,0.03,0.16,12,2022-07-05,
2022070518,0.07,0.04,0.01,0.02,0.14,18,2022-07-05,
2022070600,0.04,0.04,0.01,0.02,0.11,0,2022-07-06,
2022070606,0.05,0.03,0.01,0.02,0.11,6,2022-07-06,
2022070612,0.04,0.03,0.01,0.02,0.1,12,2022-07-06,
2022070618,0.05,0.03,0.01,0.02,0.11,18,2022-07-06,
2022070700,0.03,0.03,0.01,0.01,0.08,0,2022-07-07,daily
2022070706,0.03,0.02,0.01,0.01,0.07,6,2022-07-07,
2022070712,0.03,0.02,0,0.01,0.07,12,2022-07-07,
2022070718,0.05,0.02,0.01,0.02,0.09,18,2022-07-07,
2022070800,0.04,0.02,0.01,0.01,0.08,0,2022-07-08,daily
2022070806,0.05,0.03,0.01,0.02,0.11,6,2022-07-08,
2022070812,0.05,0.03,0.01,0.02,0.1,12,2022-07-08,
2022070818,0.06,0.03,0.01,0.02,0.13,18,2022-07-08,
2022070900,0.04,0.03,0.01,0.01,0.09,0,2022-07-09,daily
2022070906,0.05,0.03,0.01,0.02,0.11,6,2022-07-09,
2022070912,0.05,0.04,0.01,0.02,0.12,12,2022-07-09,
2022070918,0.03,0.03,0.01,0.01,0.07,18,2022-07-09,
2022071000,0.02,0.02,0.01,0.01,0.05,0,2022-07-10,daily
2022071006,0.02,0.02,0.01,0.01,0.06,6,2022-07-10,
2022071012,0.03,0.02,0.01,0.01,0.07,12,2022-07-10,
2022071018,0.04,0.03,0.01,0.01,0.09,18,2022-07-10,
2022071100,0.03,0.02,0.01,0.01,0.07,0,2022-07-11,daily
2022071106,0.05,0.02,0.01,0.01,0.09,6,2022-07-11,
2022071112,0.08,0.02,0.01,0.01,0.13,12,2022-07-11,
2022071118,0.05,0.02,0.01,0.01,0.08,18,2022-07-11,
2022071200,0.04,0.02,0.01,0.01,0.08,0,2022-07-12,daily
2022071206,0.04,0.01,0.01,0.01,0.07,6,2022-07-12,
2022071212,0.05,0.01,0.01,0.01,0.08,12,2022-07-12,
2022071218,0.09,0.05,0.03,0.02,0.18,18,2022-07-12,
2022071300,0.07,0.04,0.03,0.01,0.16,0,2022-07-13,daily
2022071306,0.06,0.05,0.03,0.01,0.15,6,2022-07-13,
2022071312,0.1,0.06,0.03,0.03,0.21,12,2022-07-13,
2022071318,0.08,0.05,0.02,0.02,0.17,18,2022-07-13,
2022071400,0.06,0.04,0.02,0.01,0.14,0,2022-07-14,daily
2022071406,0.06,0.04,0.02,0.02,0.13,6,2022-07-14,
2022071412,0.08,0.04,0.02,0.03,0.16,12,2022-07-14,
2022071418,0.08,0.04,0.02,0.03,0.17,18,2022-07-14,
2022071500,0.09,0.04,0.02,0.02,0.16,0,2022-07-15,daily
2022071506,0.09,0.04,0.02,0.02,0.17,6,2022-07-15,
2022071512,0.1,0.05,0.02,0.02,0.2,12,2022-07-15,
2022071518,0.14,0.08,0.02,0.04,0.28,18,2022-07-15,
2022071600,0.12,0.14,0.02,0.03,0.31,0,2022-07-16,daily
2022071606,0.13,0.17,0.02,0.04,0.36,6,2022-07-16,
2022071612,0.14,0.18,0.02,0.04,0.38,12,2022-07-16,
2022071618,0.07,0.12,0.02,0.02,0.23,18,2022-07-16,
2022071700,0.06,0.14,0.02,0.01,0.23,0,2022-07-17,daily
2022071706,0.07,0.14,0.01,0.01,0.24,6,2022-07-17,
2022071712,0.08,0.15,0.02,0.02,0.25,12,2022-07-17,
2022071718,0.08,0.17,0.03,0.01,0.29,18,2022-07-17,
2022071800,0.07,0.15,0.03,0.01,0.26,0,2022-07-18,daily
2022071806,0.07,0.13,0.03,0.01,0.24,6,2022-07-18,
2022071812,0.06,0.1,0.03,0.01,0.2,12,2022-07-18,
2022071818,0.03,0.05,0.01,0,0.09,18,2022-07-18,
2022071900,0.03,0.04,0.01,0,0.08,0,2022-07-19,daily
2022071906,0.04,0.04,0.01,0.01,0.1,6,2022-07-19,
2022071912,0.05,0.04,0.01,0.01,0.11,12,2022-07-19,
2022071918,0.06,0.05,0.02,0.01,0.14,18,2022-07-19,
2022072000,0.06,0.05,0.02,0.02,0.15,0,2022-07-20,
2022072006,0.06,0.05,0.02,0.02,0.16,6,2022-07-20,
2022072012,0.06,0.05,0.02,0.03,0.15,12,2022-07-20,
2022072018,0.05,0.04,0.01,0.03,0.13,18,2022-07-20,
2022072100,0.04,0.05,0.01,0.03,0.13,0,2022-07-21,
2022072106,0.06,0.05,0.01,0.04,0.17,6,2022-07-21,
2022072112,0.08,0.06,0.02,0.04,0.2,12,2022-07-21,
2022072118,0.07,0.09,0.02,0.03,0.21,18,2022-07-21,
2022072200,0.05,0.08,0.01,0.02,0.16,0,2022-07-22,
2022072206,0.07,0.07,0.01,0.02,0.17,6,2022-07-22,
2022072212,0.07,0.07,0.01,0.02,0.17,12,2022-07-22,
2022072218,0.04,0.05,0.01,0.01,0.11,18,2022-07-22,
2022072300,0.04,0.05,0.01,0.01,0.1,0,2022-07-23,
2022072306,0.06,0.05,0.01,0.02,0.14,6,2022-07-23,
2022072312,0.06,0.05,0.01,0.02,0.14,12,2022-07-23,
2022072318,0.04,0.03,0.01,0.01,0.1,18,2022-07-23,
2022072400,0.03,0.03,0.01,0.01,0.09,0,2022-07-24,
2022072406,0.04,0.03,0.01,0.02,0.09,6,2022-07-24,
2022072412,0.04,0.02,0.01,0.02,0.1,12,2022-07-24,
2022072418,0.04,0.03,0.01,0.02,0.1,18,2022-07-24,
2022072500,0.04,0.03,0.01,0.01,0.09,0,2022-07-25,
2022072506,0.05,0.03,0.01,0.02,0.11,6,2022-07-25,
2022072512,0.04,0.03,0.01,0.02,0.09,12,2022-07-25,
2022072518,0.04,0.03,0.01,0.02,0.1,18,2022-07-25,
2022072600,0.03,0.03,0.01,0.01,0.08,0,2022-07-26,
2022072606,0.04,0.03,0.01,0.01,0.09,6,2022-07-26,
2022072612,0.04,0.03,0.01,0.01,0.09,12,2022-07-26,
2022072618,0.05,0.04,0.01,0.01,0.12,18,2022-07-26,
2022072700,0.05,0.04,0.02,0.01,0.12,0,2022-07-27,
2022072706,0.07,0.05,0.02,0.02,0.16,6,2022-07-27,
2022072712,0.07,0.05,0.02,0.02,0.16,12,2022-07-27,
2022072718,0.06,0.05,0.01,0.02,0.14,18,2022-07-27,
2022072800,0.04,0.04,0.01,0.02,0.11,0,2022-07-28,
2022072806,0.05,0.04,0.01,0.02,0.12,6,2022-07-28,
2022072812,0.05,0.03,0.01,0.02,0.11,12,2022-07-28,
2022072818,0.03,0.03,0.01,0.01,0.08,18,2022-07-28,
2022072900,0.04,0.03,0.01,0.02,0.1,0,2022-07-29,
2022072906,0.05,0.04,0.01,0.03,0.13,6,2022-07-29,
2022072912,0.05,0.04,0.01,0.03,0.12,12,2022-07-29,
2022072918,0.05,0.04,0.01,0.03,0.12,18,2022-07-29,
2022073000,0.04,0.06,0.01,0.02,0.13,0,2022-07-30,
2022073006,0.05,0.08,0.01,0.03,0.17,6,2022-07-30,
2022073012,0.06,0.09,0.01,0.03,0.18,12,2022-07-30,
2022073018,0.06,0.09,0.01,0.02,0.18,18,2022-07-30,
2022073100,0.04,0.08,0.01,0.01,0.15,0,2022-07-31,
2022073106,0.05,0.08,0.01,0.02,0.17,6,2022-07-31,
2022073112,0.04,0.08,0.01,0.02,0.15,12,2022-07-31,
2022073118,0.05,0.08,0.01,0.03,0.17,18,2022-07-31,
2022080100,0.03,0.05,0,0.02,0.11,0,2022-08-01,
2022080106,0.03,0.03,0,0.03,0.1,6,2022-08-01,
2022080112,0.04,0.03,0,0.03,0.1,12,2022-08-01,
2022080118,0.03,0.03,0,0.01,0.08,18,2022-08-01,
2022080200,0.03,0.04,0,0.01,0.08,0,2022-08-02,
2022080206,0.04,0.03,0,0.02,0.09,6,2022-08-02,
2022080212,0.03,0.03,0,0.02,0.08,12,2022-08-02,
2022080218,0.05,0.05,0.01,0.02,0.12,18,2022-08-02,
2022080300,0.03,0.05,0.01,0.01,0.1,0,2022-08-03,
2022080306,0.05,0.05,0.01,0.03,0.13,6,2022-08-03,
2022080312,0.05,0.06,0.01,0.03,0.16,12,2022-08-03,
2022080318,0.05,0.05,0.01,0.02,0.13,18,2022-08-03,
2022080400,0.03,0.05,0.01,0.01,0.1,0,2022-08-04,
2022080406,0.06,0.05,0.01,0.03,0.17,6,2022-08-04,
2022080412,0.06,0.07,0.02,0.02,0.17,12,2022-08-04,
2022080418,0.07,0.08,0.02,0.02,0.2,18,2022-08-04,
2022080500,0.06,0.08,0.03,0.02,0.18,0,2022-08-05,
2022080506,0.07,0.08,0.03,0.02,0.21,6,2022-08-05,
2022080512,0.07,0.09,0.03,0.02,0.21,12,2022-08-05,
2022080518,0.07,0.08,0.02,0.02,0.19,18,2022-08-05,
2022080600,0.06,0.08,0.02,0.02,0.18,0,2022-08-06,
2022080606,0.08,0.08,0.02,0.02,0.2,6,2022-08-06,
2022080612,0.08,0.08,0.02,0.02,0.2,12,2022-08-06,
2022080618,0.08,0.07,0.02,0.02,0.19,18,2022-08-06,
2022080700,0.06,0.07,0.01,0.02,0.16,0,2022-08-07,
2022080706,0.07,0.06,0.01,0.02,0.16,6,2022-08-07,
2022080712,0.08,0.06,0.01,0.03,0.17,12,2022-08-07,
2022080718,0.05,0.05,0.01,0.01,0.12,18,2022-08-07,
2022080800,0.04,0.04,0.01,0.01,0.1,0,2022-08-08,
2022080806,0.04,0.04,0.01,0.02,0.11,6,2022-08-08,
2022080812,0.05,0.05,0.01,0.02,0.13,12,2022-08-08,
2022080818,0.04,0.05,0.01,0.02,0.11,18,2022-08-08,
2022080900,0.04,0.04,0.01,0.01,0.1,0,2022-08-09,
2022080906,0.04,0.04,0.01,0.02,0.11,6,2022-08-09,
2022080912,0.04,0.04,0.01,0.02,0.12,12,2022-08-09,
2022080918,0.04,0.04,0.01,0.02,0.1,18,2022-08-09,
2022081000,0.03,0.03,0.01,0.01,0.09,0,2022-08-10,
2022081006,0.04,0.03,0.01,0.02,0.1,6,2022-08-10,
2022081012,0.04,0.03,0.01,0.01,0.09,12,2022-08-10,
2022081018,0.05,0.04,0.01,0.02,0.12,18,2022-08-10,
2022081100,0.05,0.04,0.01,0.01,0.11,0,2022-08-11,
2022081106,0.05,0.03,0.01,0.02,0.11,6,2022-08-11,
2022081112,0.06,0.03,0.01,0.02,0.12,12,2022-08-11,
2022081118,0.07,0.03,0.01,0.01,0.12,18,2022-08-11,
2022081200,0.09,0.03,0.01,0.01,0.14,0,2022-08-12,
2022081206,0.11,0.03,0.01,0.02,0.16,6,2022-08-12,
2022081212,0.11,0.02,0.01,0.01,0.16,12,2022-08-12,
2022081218,0.09,0.02,0.01,0.01,0.12,18,2022-08-12,
2022081300,0.13,0.02,0.01,0.01,0.16,0,2022-08-13,
2022081306,0.17,0.02,0.01,0.01,0.21,6,2022-08-13,
2022081312,0.12,0.02,0.01,0.01,0.16,12,2022-08-13,
2022081318,0.12,0.02,0.01,0.01,0.17,18,2022-08-13,
2022081400,0.14,0.02,0.01,0.02,0.19,0,2022-08-14,
2022081406,0.22,0.03,0.01,0.02,0.28,6,2022-08-14,
2022081412,0.32,0.03,0.01,0.05,0.41,12,2022-08-14,
2022081418,0.27,0.03,0.01,0.05,0.36,18,2022-08-14,
2022081500,0.28,0.03,0.01,0.05,0.38,0,2022-08-15,
2022081506,0.18,0.04,0.01,0.04,0.27,6,2022-08-15,
2022081512,0.13,0.04,0.01,0.04,0.22,12,2022-08-15,
2022081518,0.11,0.05,0.01,0.04,0.2,18,2022-08-15,
2022081600,0.1,0.05,0.01,0.05,0.21,0,2022-08-16,
2022081606,0.07,0.05,0.01,0.03,0.15,6,2022-08-16,
2022081612,0.07,0.05,0.01,0.03,0.15,12,2022-08-16,
2022081618,0.06,0.04,0.01,0.02,0.13,18,2022-08-16,
2022081700,0.05,0.04,0.01,0.02,0.1,0,2022-08-17,
2022081706,0.05,0.04,0.01,0.02,0.12,6,2022-08-17,
2022081712,0.05,0.04,0.01,0.02,0.11,12,2022-08-17,
2022081718,0.06,0.03,0.01,0.02,0.12,18,2022-08-17,
2022081800,0.04,0.03,0.01,0.01,0.09,0,2022-08-18,
2022081806,0.05,0.03,0.01,0.02,0.11,6,2022-08-18,
2022081812,0.06,0.03,0.01,0.02,0.13,12,2022-08-18,
2022081818,0.09,0.05,0.02,0.02,0.17,18,2022-08-18,
2022081900,0.07,0.06,0.02,0.02,0.16,0,2022-08-19,
2022081906,0.08,0.05,0.01,0.02,0.17,6,2022-08-19,
2022081912,0.09,0.05,0.01,0.02,0.18,12,2022-08-19,
2022081918,0.04,0.03,0.01,0.01,0.09,18,2022-08-19,
2022082000,0.04,0.04,0.01,0.01,0.09,0,2022-08-20,
2022082006,0.06,0.04,0.01,0.02,0.12,6,2022-08-20,
2022082012,0.06,0.03,0.01,0.02,0.12,12,2022-08-20,
2022082018,0.06,0.03,0.01,0.03,0.13,18,2022-08-20,
2022082100,0.09,0.03,0.01,0.04,0.16,0,2022-08-21,
2022082106,0.12,0.03,0.01,0.05,0.21,6,2022-08-21,
2022082112,0.1,0.03,0.01,0.03,0.17,12,2022-08-21,
2022082118,0.11,0.02,0.01,0.03,0.17,18,2022-08-21,
2022082200,0.08,0.02,0.01,0.02,0.14,0,2022-08-22,
2022082206,0.08,0.02,0.01,0.02,0.14,6,2022-08-22,
2022082212,0.09,0.03,0.01,0.03,0.15,12,2022-08-22,
2022082218,0.12,0.05,0.01,0.03,0.21,18,2022-08-22,
2022082300,0.07,0.04,0.01,0.02,0.12,0,2022-08-23,
2022082306,0.06,0.03,0.01,0.01,0.11,6,2022-08-23,
2022082312,0.08,0.03,0.01,0.02,0.14,12,2022-08-23,
2022082318,0.09,0.03,0.01,0.02,0.14,18,2022-08-23,
2022082400,0.09,0.03,0.01,0.01,0.14,0,2022-08-24,
2022082406,0.08,0.03,0.01,0.01,0.13,6,2022-08-24,
2022082412,0.08,0.04,0.01,0.01,0.14,12,2022-08-24,
2022082418,0.07,0.04,0.01,0.01,0.13,18,2022-08-24,
2022082500,0.08,0.04,0.01,0.01,0.14,0,2022-08-25,
2022082506,0.1,0.04,0.01,0.01,0.16,6,2022-08-25,
2022082512,0.13,0.04,0.01,0.02,0.21,12,2022-08-25,
2022082518,0.13,0.03,0.01,0.01,0.18,18,2022-08-25,
2022082600,0.11,0.03,0.01,0.01,0.16,0,2022-08-26,
2022082606,0.11,0.03,0.01,0.01,0.16,6,2022-08-26,
2022082612,0.12,0.03,0.01,0.02,0.17,12,2022-08-26,
2022082618,0.14,0.02,0.01,0.02,0.19,18,2022-08-26,
2022082700,0.08,0.02,0.01,0.01,0.13,0,2022-08-27,
2022082706,0.09,0.02,0.01,0.01,0.13,6,2022-08-27,
2022082712,0.07,0.02,0.01,0.01,0.11,12,2022-08-27,
2022082718,0.05,0.02,0.01,0.01,0.08,18,2022-08-27,
2022082800,0.04,0.02,0,0.01,0.06,0,2022-08-28,
2022082806,0.04,0.01,0,0.01,0.07,6,2022-08-28,
2022082812,0.04,0.01,0,0.01,0.07,12,2022-08-28,
2022082818,0.01,0,0,0,0.02,18,2022-08-28,