Well,Fluor,Target,Content,Sample,Cq,SQ,filter_amt,dilution
G01,Cy5,,Unkn,BO_11,26.36456462,0,,10
G02,Cy5,,Unkn,BO_11,26.00975954,0,100,10
G03,Cy5,,Unkn,BO_11,26.05576987,0,,10
G01,HEX,,Unkn,BO_11,0,0,100,10
G02,HEX,,Unkn,BO_11,0,0,,10
G03,HEX,,Unkn,BO_11,0,0,100,10
I01,Cy5,,Unkn,BO_12,26.01928923,0,,10
I02,Cy5,,Unkn,BO_12,26.05027617,0,50,10
I03,Cy5,,Unkn,BO_12,25.46736459,0,,10
I01,HEX,,Unkn,BO_12,0,0,50,10
I02,HEX,,Unkn,BO_12,0,0,,10
I03,HEX,,Unkn,BO_12,36.64226527,0,50,10
K01,Cy5,,Unkn,BO_13,25.96104255,0,,10
K02,Cy5,,Unkn,BO_13,26.09378798,0,50,10
K03,Cy5,,Unkn,BO_13,25.989495,0,,10
K01,HEX,,Unkn,BO_13,0,0,50,10
K02,HEX,,Unkn,BO_13,0,0,,10
K03,HEX,,Unkn,BO_13,0,0,50,10
A04,Cy5,,Unkn,BO_14,26.08860413,0,,10
A05,Cy5,,Unkn,BO_14,25.91627369,0,50,10
A06,Cy5,,Unkn,BO_14,26.06854156,0,,10
A04,HEX,,Unkn,BO_14,36.04319653,0,50,10
A05,HEX,,Unkn,BO_14,0,0,,10
A06,HEX,,Unkn,BO_14,35.94245752,0,50,10
C04,Cy5,,Unkn,BO_15,25.46454196,0,,10
C05,Cy5,,Unkn,BO_15,25.97162685,0,50,10
C06,Cy5,,Unkn,BO_15,25.93719814,0,,10
C04,HEX,,Unkn,BO_15,0,0,50,10
C05,HEX,,Unkn,BO_15,36.90292132,0,,10
C06,HEX,,Unkn,BO_15,35.85292138,0,50,10
E04,Cy5,,Unkn,BO_16,25.19939288,0,,10
E05,Cy5,,Unkn,BO_16,25.81774375,0,30,10
E06,Cy5,,Unkn,BO_16,26.07732543,0,,10
E04,HEX,,Unkn,BO_16,34.26817508,0,30,10
E05,HEX,,Unkn,BO_16,35.09094817,0,,10
E06,HEX,,Unkn,BO_16,35.71925431,0,30,10
G04,Cy5,,Unkn,BO_17,25.45332458,0,,10
G05,Cy5,,Unkn,BO_17,25.29466774,0,30,10
G06,Cy5,,Unkn,BO_17,26.0108582,0,,10
G04,HEX,,Unkn,BO_17,36.79027268,0,30,10
G05,HEX,,Unkn,BO_17,34.4651415,0,,10
G06,HEX,,Unkn,BO_17,35.72647309,0,30,10
I04,Cy5,,Unkn,BO_18,25.54886215,0,,10
I05,Cy5,,Unkn,BO_18,25.89539803,0,30,10
I06,Cy5,,Unkn,BO_18,25.99923971,0,,10
I04,HEX,,Unkn,BO_18,35.58197,0,30,10
I05,HEX,,Unkn,BO_18,35.54085746,0,,10
I06,HEX,,Unkn,BO_18,35.16917702,0,30,10
K04,Cy5,,Unkn,BO_19,25.61362141,0,,10
K05,Cy5,,Unkn,BO_19,25.61342717,0,30,10
K06,Cy5,,Unkn,BO_19,26.06829671,0,,10
K04,HEX,,Unkn,BO_19,36.59697202,0,30,10
K05,HEX,,Unkn,BO_19,34.56817874,0,,10
K06,HEX,,Unkn,BO_19,0,0,30,10
A01,Cy5,,Unkn,BO_7,26.18884163,0,,10
A02,Cy5,,Unkn,BO_7,26.02698123,0,100,10
A03,Cy5,,Unkn,BO_7,25.96098393,0,,10
A01,HEX,,Unkn,BO_7,0,0,100,10
A02,HEX,,Unkn,BO_7,0,0,,10
A03,HEX,,Unkn,BO_7,35.10779035,0,100,10
C01,Cy5,,Unkn,BO_8,26.24633149,0,,10
C02,Cy5,,Unkn,BO_8,25.89221868,0,,10
C03,Cy5,,Unkn,BO_8,25.87373313,0,,10
C01,HEX,,Unkn,BO_8,35.38321359,0,,10
C02,HEX,,Unkn,BO_8,0,0,100,10
C03,HEX,,Unkn,BO_8,0,0,,10
E01,Cy5,,Unkn,BO_9,26.06069482,0,100,10
E02,Cy5,,Unkn,BO_9,26.05369807,0,,10
E03,Cy5,,Unkn,BO_9,26.15723775,0,100,10
E01,HEX,,Unkn,BO_9,0,0,,10
E02,HEX,,Unkn,BO_9,0,0,100,10
E03,HEX,,Unkn,BO_9,0,0,,10
G08,Cy5,,Unkn,C2_11,25.81408642,0,100,10
G09,Cy5,,Unkn,C2_11,25.63944275,0,,10
G10,Cy5,,Unkn,C2_11,26.01960501,0,100,10
G08,HEX,,Unkn,C2_11,35.00269936,0,,1
G09,HEX,,Unkn,C2_11,36.51582546,0,100,1
G10,HEX,,Unkn,C2_11,34.74195825,0,,1
I08,Cy5,,Unkn,C2_12,25.07130144,0,100,1
I09,Cy5,,Unkn,C2_12,25.56689197,0,,1
I10,Cy5,,Unkn,C2_12,24.85240548,0,100,1
I08,HEX,,Unkn,C2_12,36.68282684,0,,1
I09,HEX,,Unkn,C2_12,0,0,100,1
I10,HEX,,Unkn,C2_12,36.49059736,0,,1
K08,Cy5,,Unkn,C2_13,25.62743185,0,100,1
K09,Cy5,,Unkn,C2_13,26.25637267,0,,1
K10,Cy5,,Unkn,C2_13,25.82330506,0,100,1
K08,HEX,,Unkn,C2_13,34.75993955,0,,1
K09,HEX,,Unkn,C2_13,0,0,100,1
K10,HEX,,Unkn,C2_13,0,0,,1
A11,Cy5,,Unkn,C2_14,26.4755363,0,100,1
A12,Cy5,,Unkn,C2_14,26.2004255,0,,1
A13,Cy5,,Unkn,C2_14,26.11445063,0,100,1
A11,HEX,,Unkn,C2_14,36.00132694,0,,1
A12,HEX,,Unkn,C2_14,37.16606663,0,100,1
A13,HEX,,Unkn,C2_14,0,0,,1
C11,Cy5,,Unkn,C2_15,26.16358165,0,100,1
C12,Cy5,,Unkn,C2_15,25.9985727,0,,1
C13,Cy5,,Unkn,C2_15,25.8899631,0,100,1
C11,HEX,,Unkn,C2_15,0,0,,1
C12,HEX,,Unkn,C2_15,37.39962079,0,100,1
C13,HEX,,Unkn,C2_15,37.40489996,0,,1
E11,Cy5,,Unkn,C2_16,25.23841714,0,100,1
E12,Cy5,,Unkn,C2_16,25.90452778,0,,1
E13,Cy5,,Unkn,C2_16,25.22089777,0,100,1
E11,HEX,,Unkn,C2_16,34.5165875,0,,1
E12,HEX,,Unkn,C2_16,35.68021074,0,100,1
E13,HEX,,Unkn,C2_16,37.44449563,0,,1
G11,Cy5,,Unkn,C2_17,25.83695708,0,100,1
G12,Cy5,,Unkn,C2_17,25.7935887,0,,1
G13,Cy5,,Unkn,C2_17,25.13801041,0,100,1
G11,HEX,,Unkn,C2_17,37.09433478,0,,1
G12,HEX,,Unkn,C2_17,34.86066147,0,100,1
G13,HEX,,Unkn,C2_17,34.20436687,0,,1
I11,Cy5,,Unkn,C2_18,25.61033913,0,100,1
I12,Cy5,,Unkn,C2_18,25.78475907,0,,1
I13,Cy5,,Unkn,C2_18,26.42296892,0,100,1
I11,HEX,,Unkn,C2_18,0,0,,1
I12,HEX,,Unkn,C2_18,37.89383736,0,100,1
I13,HEX,,Unkn,C2_18,34.71735137,0,,1
K11,Cy5,,Unkn,C2_19,25.85158403,0,100,1
K12,Cy5,,Unkn,C2_19,24.17099163,0,,1
K13,Cy5,,Unkn,C2_19,26.05610182,0,100,1
K11,HEX,,Unkn,C2_19,0,0,,1
K12,HEX,,Unkn,C2_19,0,0,100,1
K13,HEX,,Unkn,C2_19,0,0,,1
A08,Cy5,,Unkn,C2_7,26.14520772,0,100,1
A09,Cy5,,Unkn,C2_7,26.19524999,0,,1
A10,Cy5,,Unkn,C2_7,26.1285676,0,100,1
A08,HEX,,Unkn,C2_7,0,0,,1
A09,HEX,,Unkn,C2_7,0,0,100,1
A10,HEX,,Unkn,C2_7,0,0,,1
C08,Cy5,,Unkn,C2_8,26.17284805,0,100,1
C09,Cy5,,Unkn,C2_8,26.0277863,0,,1
C10,Cy5,,Unkn,C2_8,26.13092012,0,100,1
C08,HEX,,Unkn,C2_8,36.36604665,0,,1
C09,HEX,,Unkn,C2_8,33.53072955,0,100,1
C10,HEX,,Unkn,C2_8,36.14021757,0,,1
E08,Cy5,,Unkn,C2_9,24.45854561,0,100,1
E09,Cy5,,Unkn,C2_9,25.42356096,0,,1
E10,Cy5,,Unkn,C2_9,25.98121295,0,100,1
E08,HEX,,Unkn,C2_9,35.48960498,0,,1
E09,HEX,,Unkn,C2_9,0,0,100,1
E10,HEX,,Unkn,C2_9,37.04084381,0,,1
G15,Cy5,,Unkn,RD_11,26.18875159,0,100,1
G16,Cy5,,Unkn,RD_11,26.09668004,0,,1
G17,Cy5,,Unkn,RD_11,26.05574246,0,100,1
G15,HEX,,Unkn,RD_11,0,0,,1
G16,HEX,,Unkn,RD_11,35.5740614,0,100,1
G17,HEX,,Unkn,RD_11,36.58924542,0,,1
I15,Cy5,,Unkn,RD_12,26.09141627,0,100,1
I16,Cy5,,Unkn,RD_12,26.03284611,0,,1
I17,Cy5,,Unkn,RD_12,26.08298841,0,100,1
I15,HEX,,Unkn,RD_12,0,0,,1
I16,HEX,,Unkn,RD_12,37.09114634,0,100,1
I17,HEX,,Unkn,RD_12,0,0,,1
K15,Cy5,,Unkn,RD_13,25.97073513,0,100,1
K16,Cy5,,Unkn,RD_13,25.78370388,0,,1
K17,Cy5,,Unkn,RD_13,26.07230727,0,100,1
K15,HEX,,Unkn,RD_13,0,0,,1
K16,HEX,,Unkn,RD_13,35.55011898,0,100,1
K17,HEX,,Unkn,RD_13,35.18325639,0,,1
A18,Cy5,,Unkn,RD_14,25.99200604,0,100,1
A19,Cy5,,Unkn,RD_14,26.31249735,0,,1
A20,Cy5,,Unkn,RD_14,26.38699821,0,100,1
A18,HEX,,Unkn,RD_14,35.99092866,0,,1
A19,HEX,,Unkn,RD_14,36.40909785,0,100,1
A20,HEX,,Unkn,RD_14,0,0,,1
C18,Cy5,,Unkn,RD_15,26.23155346,0,100,1
C19,Cy5,,Unkn,RD_15,25.18362597,0,,1
C20,Cy5,,Unkn,RD_15,26.03359148,0,100,1
C18,HEX,,Unkn,RD_15,36.61434691,0,,1
C19,HEX,,Unkn,RD_15,35.85349573,0,100,1
C20,HEX,,Unkn,RD_15,34.85396,0,,1
E18,Cy5,,Unkn,RD_16,25.89205529,0,100,1
E19,Cy5,,Unkn,RD_16,26.13566362,0,,1
E20,Cy5,,Unkn,RD_16,26.058458,0,100,1
E18,HEX,,Unkn,RD_16,36.48666923,0,,1
E19,HEX,,Unkn,RD_16,0,0,100,1
E20,HEX,,Unkn,RD_16,35.36460063,0,,1
G18,Cy5,,Unkn,RD_17,25.49403762,0,100,1
G19,Cy5,,Unkn,RD_17,26.85839968,0,,1
G20,Cy5,,Unkn,RD_17,26.40070369,0,100,1
G18,HEX,,Unkn,RD_17,0,0,,1
G19,HEX,,Unkn,RD_17,36.14518351,0,100,1
G20,HEX,,Unkn,RD_17,36.21197655,0,,1
I18,Cy5,,Unkn,RD_18,23.91333306,0,100,1
I19,Cy5,,Unkn,RD_18,25.61035522,0,,1
I20,Cy5,,Unkn,RD_18,25.99295649,0,100,1
I18,HEX,,Unkn,RD_18,43.68047714,0,,1
I19,HEX,,Unkn,RD_18,0,0,100,1
I20,HEX,,Unkn,RD_18,0,0,,1
K18,Cy5,,Unkn,RD_19,25.28496975,0,100,1
K19,Cy5,,Unkn,RD_19,27.0792607,0,,1
K20,Cy5,,Unkn,RD_19,26.03135469,0,100,1
K18,HEX,,Unkn,RD_19,34.59222228,0,,1
K19,HEX,,Unkn,RD_19,27.74589927,0,100,1
K20,HEX,,Unkn,RD_19,0,0,,1
A15,Cy5,,Unkn,RD_7,26.5052697,0,100,1
A16,Cy5,,Unkn,RD_7,26.26457266,0,,1
A17,Cy5,,Unkn,RD_7,26.21775879,0,100,1
A15,HEX,,Unkn,RD_7,0,0,,1
A16,HEX,,Unkn,RD_7,0,0,100,1
A17,HEX,,Unkn,RD_7,0,0,,1
C15,Cy5,,Unkn,RD_8,26.2625338,0,100,1
C16,Cy5,,Unkn,RD_8,25.95853717,0,,1
C17,Cy5,,Unkn,RD_8,25.88989713,0,100,1
C15,HEX,,Unkn,RD_8,36.78399485,0,,1
C16,HEX,,Unkn,RD_8,34.05386898,0,100,1
C17,HEX,,Unkn,RD_8,36.14301621,0,,1
E15,Cy5,,Unkn,RD_9,26.05326808,0,100,1
E16,Cy5,,Unkn,RD_9,26.15523338,0,,1
E17,Cy5,,Unkn,RD_9,26.08285499,0,100,1
E15,HEX,,Unkn,RD_9,0,0,,1
E16,HEX,,Unkn,RD_9,34.5441565,0,100,1
E17,HEX,,Unkn,RD_9,0,0,,1
A22,Cy5,,Pos Ctrl,,26.1611888,0,100,1
A23,Cy5,,Pos Ctrl,,26.12972393,0,,1
A24,Cy5,,Pos Ctrl,,26.10715689,0,100,1
C22,Cy5,,NTC,,26.04112982,0,,
C23,Cy5,,NTC,,26.12514766,0,,
C24,Cy5,,NTC,,26.79961582,0,,
A22,HEX,,Pos Ctrl,,23.55811072,0,,
A23,HEX,,Pos Ctrl,,23.54757715,0,,
A24,HEX,,Pos Ctrl,,23.23171593,0,,
C22,HEX,,NTC,,0,0,,
C23,HEX,,NTC,,0,0,,
C24,HEX,,NTC,,0,0,,